,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
298,,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",206.777,True,0.498,0.851,8,-5.496,1,0.326,0.132,4.21e-06,0.529,0.518,78.025,44,Nas,,Rare,2097
299,,"['cali rap', 'trap queen']",155.883,True,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,71,Saweetie,,Best Friend (feat. Doja Cat),2098
300,,"['cali rap', 'pop rap']",140.533,True,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,81,24kGoldn,,Mood (feat. iann dior),2099
301,,"['art pop', 'pop']",244.221,False,0.599,0.128,10,-17.261,1,0.109,0.974,0.121,0.115,0.367,159.679,70,Billie Eilish,,Getting Older,2101
302,,"['art pop', 'pop']",196.73,False,0.895,0.389,7,-11.036,0,0.11,0.222,0.0346,0.105,0.549,110.023,77,Billie Eilish,,Billie Bossa Nova,2102
303,,"['art pop', 'pop']",210.232,False,0.757,0.598,11,-7.777,1,0.058,0.0904,0.551,0.15,0.18,124.951,68,Billie Eilish,,Oxytocin,2103
304,,"['art pop', 'pop']",158.463,True,0.849,0.48,9,-5.835,1,0.226,0.612,0.269,0.295,0.677,142.021,72,Billie Eilish,,I Didn't Change My Number,2104
305,,"['art pop', 'pop']",212.496,True,0.526,0.334,10,-8.491,0,0.251,0.702,0.00782,0.0586,0.522,74.966,69,Billie Eilish,,Lost Cause,2106
306,,"['art pop', 'pop']",234.761,False,0.403,0.159,1,-16.728,0,0.104,0.961,0.0121,0.34,0.0381,72.38,75,Billie Eilish,,Halley's Comet,2107
307,,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",189.306,True,0.866,0.64,6,-6.195,0,0.413,0.000697,0.000114,0.702,0.636,142.04,47,Isaiah Rashad,,From the Garden (feat. Lil Uzi Vert),2110
308,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",192.956,True,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,75,Drake,,Wants and Needs (feat. Lil Baby),2112
309,,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",159.082,True,0.933,0.656,2,-5.85,1,0.322,0.129,0.0,0.161,0.934,119.987,59,DaBaby,,Red Light Green Light,2115
310,,"['canadian hip hop', 'canadian trap']",206.629,True,0.797,0.573,0,-7.85,1,0.319,0.159,0.0,0.144,0.445,124.995,50,Belly,,Better Believe,2116
311,,"['kentucky hip hop', 'memphis hip hop', 'southern hip hop', 'trap']",93.799,True,0.838,0.573,0,-5.667,1,0.275,0.0496,0.0,0.121,0.687,160.963,58,EST Gee,,Lick Back,2117
312,,"['rap', 'slap house']",366.592,True,0.472,0.551,5,-7.219,0,0.25,0.103,0.0,0.345,0.347,83.25,71,Travis Scott,,SKITZO (feat. Young Thug),2118
313,,['australian hip hop'],171.428,True,0.724,0.5,5,-7.112,0,0.259,0.41,0.0,0.115,0.317,97.694,57,The Kid LAROI,,STILL CHOSE YOU (feat. Mustard),2120
314,,"['brooklyn drill', 'hip hop', 'rap']",215.0,True,0.662,0.686,7,-8.302,1,0.332,0.251,5.59e-06,0.349,0.678,143.971,57,Pop Smoke,,Tell The Vision (feat. Kanye West & Pusha T),2122
315,,"['brooklyn drill', 'hip hop', 'rap']",203.586,True,0.718,0.675,0,-6.959,0,0.0911,0.532,0.0,0.125,0.389,145.056,56,Pop Smoke,,Bout A Million (feat. 42 Dugg & 21 Savage),2124
316,,"['brooklyn drill', 'hip hop', 'rap']",214.925,True,0.795,0.582,0,-7.365,0,0.054,0.275,0.0,0.239,0.778,134.055,48,Pop Smoke,,Mr. Jones (feat. Future),2125
317,,"['brooklyn drill', 'hip hop', 'rap']",120.827,True,0.628,0.581,2,-8.377,1,0.188,0.46,0.0,0.152,0.259,145.396,52,Pop Smoke,,More Time,2126
318,,"['brooklyn drill', 'hip hop', 'rap']",249.23,True,0.441,0.623,1,-7.331,0,0.0414,0.135,0.0,0.14,0.285,78.082,47,Pop Smoke,,Manslaughter (feat. Rick Ross & The-Dream),2127
319,,"['brooklyn drill', 'hip hop', 'rap']",184.8,True,0.675,0.608,3,-6.934,0,0.103,0.336,0.0,0.11,0.728,99.865,55,Pop Smoke,,Demeanor (feat. Dua Lipa),2128
320,,"['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']",168.03,True,0.39,0.83,11,-5.201,0,0.0563,0.0021,0.0,0.156,0.191,90.021,60,WILLOW,,t r a n s p a r e n t s o u l feat. Travis Barker,2129
321,,"['country road', 'outlaw country']",269.724,True,0.617,0.626,1,-4.883,1,0.0268,0.798,4.69e-06,0.12,0.345,112.072,51,Aaron Lewis,,Am I The Only One,2130
322,,"['brooklyn drill', 'hip hop', 'rap']",228.251,True,0.578,0.684,0,-5.908,1,0.191,0.107,0.0,0.49,0.595,106.743,52,Pop Smoke,,30 (feat. Bizzy Banks),2131
323,,['pop'],173.16,False,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,82,Olivia Rodrigo,,"jealousy, jealousy",2132
324,,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",205.458,True,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,75,Lil Tjay,,Calling My Phone,2133
325,,"['queens hip hop', 'rap', 'sudanese hip hop', 'sudanese pop', 'underground hip hop']",204.434,True,0.784,0.473,8,-6.139,1,0.0523,0.33,0.0,0.278,0.635,128.014,53,Bas,,[The Jackie] (with J. Cole & Lil Tjay),2135
326,,"['trap latino', 'urbano latino']",273.474,True,0.659,0.688,6,-4.649,1,0.0673,0.207,0.0,0.113,0.632,153.979,75,Mora,,Volando - Remix,2137
327,,"['detroit trap', 'southern hip hop', 'trap']",156.367,True,0.87,0.561,7,-10.388,1,0.186,0.0124,0.0,0.103,0.691,100.458,66,42 Dugg,,4 Da Gang (with Roddy Ricch),2138
328,,"['reggaeton', 'trap latino', 'urbano latino']",209.77,False,0.592,0.494,4,-10.618,0,0.0747,0.237,0.0,0.13,0.231,132.037,61,Bad Bunny,,De Museo,2139
