,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song
3788,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,Lil Wayne,"['Lil Wayne', 'Ashanti', 'Mack Maine']",Start This S**t Off Right
3809,"['pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",,,,,,,,,,,,,,,The Carters,['The Carters'],Apes**t
3812,,,,,,,,,,,,,,,,Ozuna x Manuel Turizo,['Ozuna x Manuel Turizo'],Vaina Loca
3848,,,,,,,,,,,,,,,,Becky G,"['Becky G', 'Natti Natasha']",Sin Pijama
3853,"['dance pop', 'pop', 'post-teen pop']",,,,,,,,,,,,,,,Ariana Grande,['Ariana Grande'],R.E.M
3862,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop', 'rap']",,,,,,,,,,,,,,,Nicki Minaj,['Nicki Minaj'],Chun-Li
3865,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop', 'rap']",,,,,,,,,,,,,,,Nicki Minaj,['Nicki Minaj'],Ganja Burns
3869,['rap'],,,,,,,,,,,,,,,Travis Scott,['Travis Scott'],R.I.P Screw
3877,['rap'],,,,,,,,,,,,,,,Travis Scott,['Travis Scott'],NC-17
3894,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",,,,,,,,,,,,,,,Drake,"['Drake', 'Michael Jackson']",Don't Matter To Me
3904,,172.854,False,0.663,0.696,9.0,-4.957,0.0,0.1029999999999999,0.0561,3.8e-05,0.0777999999999999,0.7379999999999999,180.113,79.0,Nicky Jam x J Balvin,['Nicky Jam x J Balvin'],X
3907,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",,,,,,,,,,,,,,,Drake,['Drake'],Can't Take A Joke
3919,,,,,,,,,,,,,,,,XXXTENTACION,['XXXTENTACION'],Jocelyn Flores
3920,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",,,,,,,,,,,,,,,Drake,['Drake'],Sandra's Rose
